model,girderName,L,D,w_oh,ts,S,Nb,n_bm1,n_bm2,n_bm3,n_bm4,n_r1,n_r2,n_r3,n_r4,sum_RY,d-G1,d-G2,d-G3,d-G4
Tx70-L_140-Nb_7-S_120-O_45-ts_85,Tx70,140.0,70.0,4.583333333333334,8.5,12.0,7.0,0.6987240136048832,0.28545993197256075,0.061120705782264036,1.680488015517363e-05,1.0553741071420129,0.014174358258917231,0.003539987618579757,-0.04773897530688145,9.390247592477863e-05,0.5923975706100464,0.2216840386390686,0.0487812422215938,-4.372708578654365e-34
Tx70-L_140-Nb_7-S_120-O_45-ts_100,Tx70,140.0,70.0,4.583333333333334,10.0,12.0,7.0,0.6659594557817802,0.30462051020383796,0.08065195578224842,5.865221088430682e-05,1.0312699776777463,0.03472955496649007,0.02097757742743857,-0.04615164969304343,0.00010176838165421032,0.5294773578643799,0.2225844413042068,0.0602299161255359,-4.225639541687113e-34
Tx70-L_140-Nb_7-S_120-O_60-ts_85,Tx70,140.0,70.0,6.0,8.5,12.0,7.0,0.751834489795317,0.26949778911543065,0.040962886904729136,3.2314585990620407e-06,1.1425168526776572,-0.05628816964281211,-0.004116523088724385,-0.05743787667406119,9.326160673595041e-05,0.614647388458252,0.2068346440792083,0.0335942357778549,-5.261039302297864e-34
Tx70-L_140-Nb_7-S_120-O_60-ts_100,Tx70,140.0,70.0,6.0,10.0,12.0,7.0,0.7133338775504497,0.29385499999976494,0.06280084608838514,4.6972789115608676e-05,1.1153118303562504,-0.031193408203100043,0.014393412562767502,-0.05674695172986532,9.716785675095707e-05,0.547766923904419,0.2125773727893829,0.0475616715848445,-5.1960923210599715e-34
Tx70-L_175-Nb_7-S_60-O_17-ts_85,Tx70,175.0,70.0,1.75,8.5,6.0,7.0,0.36656670476161146,0.29343077006779245,0.19951009523793561,0.11805511836725249,0.7237322321422782,0.15657504464273186,0.13458850446417803,0.05637533482138347,0.00012109361000511853,0.9577628374099731,0.7010028958320618,0.4711120128631592,0.278238296508789
Tx70-L_175-Nb_7-S_60-O_17-ts_100,Tx70,175.0,70.0,1.75,10.0,6.0,7.0,0.34993850340108057,0.28676432108820593,0.2013495292515396,0.1245773278910568,0.7121431696422874,0.163387098214155,0.1362877678570338,0.06691871651780361,0.0001191404849691935,0.8583586812019348,0.6427120566368103,0.4456225931644439,0.2743818759918213
Tx70-L_175-Nb_7-S_60-O_21-ts_85,Tx70,175.0,70.0,2.1666666666666665,8.5,6.0,7.0,0.3785212081629625,0.29371757278888067,0.19810041904746056,0.11584574693868283,0.7550913392851101,0.1352578124998918,0.13483216517846355,0.05292156249995766,0.0001323240787485247,0.9642478823661804,0.7005593776702881,0.4670290052890777,0.2729456126689911
Tx70-L_175-Nb_7-S_60-O_21-ts_100,Tx70,175.0,70.0,2.1666666666666665,10.0,6.0,7.0,0.36108819591807845,0.28698594829909013,0.20024918639439762,0.12272731428561609,0.7425712053565489,0.14316804687488546,0.13594488839274838,0.06416473214280581,0.00012426743813875873,0.8628215789794922,0.6423084139823914,0.442471295595169,0.2701266705989837
Tx70-L_175-Nb_7-S_60-O_25-ts_85,Tx70,175.0,70.0,2.5833333333333335,8.5,6.0,7.0,0.39043713741465363,0.2941320054419415,0.19673404081616913,0.11363404625841249,0.7850498214279434,0.11611369419633567,0.1346237499998923,0.0494824720981747,0.00011914048505445862,0.9713342189788818,0.7004180550575256,0.4630643427371979,0.2676567137241363
Tx70-L_175-Nb_7-S_60-O_25-ts_100,Tx70,175.0,70.0,2.5833333333333335,10.0,6.0,7.0,0.3721940462582056,0.28739467755079046,0.19922708027194944,0.12088219863935906,0.7712151785708117,0.12562925223204235,0.13519330357132042,0.061406406249950876,0.0001259764224528226,0.8680259585380554,0.6423203349113464,0.439507395029068,0.2658905386924743
Tx70-L_175-Nb_7-S_60-O_30-ts_85,Tx70,175.0,70.0,3.0,8.5,6.0,7.0,0.40209667482961026,0.2945616544215331,0.1953842938773947,0.11144323265297207,0.8149421428564909,0.09707658482135091,0.1344021651784639,0.04604785435264173,0.00011328111006037034,0.978463649749756,0.7003171443939209,0.4591446220874786,0.2624218761920929
Tx70-L_175-Nb_7-S_60-O_30-ts_100,Tx70,175.0,70.0,3.0,10.0,6.0,7.0,0.38301252789085005,0.28784108843514383,0.19823305578215433,0.11905973333323808,0.7996671428565032,0.10838158482134186,0.13440283482132107,0.05865306361602451,0.00012695298505605024,0.8733528852462769,0.642422616481781,0.4366127848625183,0.2617095708847046
Tx70-L_175-Nb_7-S_90-O_17-ts_85,Tx70,175.0,70.0,1.75,8.5,9.0,7.0,0.456273850339771,0.3297547102038178,0.17952568163250943,0.07550999727885116,0.781551339285089,0.17917356026771378,0.09588800223206614,0.010665613839277182,0.00011645493810874541,1.097150444984436,0.6940270066261292,0.3758327066898346,0.1596875935792923
Tx70-L_175-Nb_7-S_90-O_17-ts_100,Tx70,175.0,70.0,1.75,10.0,9.0,7.0,0.4345822911561149,0.32641900408137153,0.1890515809522297,0.0871300462584337,0.7639718749993889,0.18273887276771095,0.10765999999991387,0.024221283482123476,0.0001181639225364961,0.9789245128631592,0.6442039608955383,0.3700329065322876,0.1717818826436996
Tx70-L_175-Nb_7-S_90-O_26-ts_85,Tx70,175.0,70.0,2.6666666666666665,8.5,9.0,7.0,0.4842442013601568,0.3281357496596014,0.17255702857129052,0.06881930884348235,0.8385362499993291,0.1384448660713178,0.094466897321353,0.002240262276783922,0.00012622056311784036,1.1165965795516968,0.687357485294342,0.3607684969902038,0.1461915969848632
Tx70-L_175-Nb_7-S_90-O_26-ts_100,Tx70,175.0,70.0,2.6666666666666665,10.0,9.0,7.0,0.4600074884350061,0.3256368326528007,0.1836722503399891,0.0812873795917717,0.8190104464279161,0.14358050223202798,0.10682352678562883,0.01685111607141509,0.00012182603182964158,0.9934244751930236,0.6399824023246765,0.358735591173172,0.160725861787796
Tx70-L_175-Nb_7-S_90-O_35-ts_85,Tx70,175.0,70.0,3.5833333333333335,8.5,9.0,7.0,0.5115061115642167,0.32665099319701757,0.16561508571415323,0.062121458503351656,0.8947115178564271,0.0990805803570636,0.09263255580349733,-0.006185276227673623,0.00011206040693423347,1.1369061470031738,0.6810349822044373,0.3458148241043091,0.132707342505455
Tx70-L_175-Nb_7-S_90-O_35-ts_100,Tx70,175.0,70.0,3.5833333333333335,10.0,9.0,7.0,0.4846093931968912,0.3250687782310324,0.17835080272094572,0.0754351346938172,0.8727394642850161,0.10654881696420046,0.10542633928562994,0.00948151785713527,0.00012597642253808772,1.0090171098709106,0.6362530589103699,0.3476127982139587,0.1496777385473251
Tx70-L_175-Nb_7-S_90-O_45-ts_85,Tx70,175.0,70.0,4.5,8.5,9.0,7.0,0.5378310530607943,0.3252741224487194,0.15876794557810428,0.05549142857138417,0.9510601785706677,0.0593908482142382,0.09091863839278441,-0.014596851283470463,0.00011376939121987562,1.1574543714523315,0.674980878829956,0.3310901820659637,0.1193851754069328
Tx70-L_175-Nb_7-S_90-O_45-ts_100,Tx70,175.0,70.0,4.5,10.0,9.0,7.0,0.5081338775506139,0.32462639455756337,0.1731389170066642,0.06965815510198509,0.9266512499992587,0.06919564174101607,0.10412638392848812,0.0021331347656232936,0.00012377915686556662,1.024909257888794,0.632820725440979,0.3367327153682709,0.1387932449579239
Tx70-L_175-Nb_7-S_120-O_17-ts_85,Tx70,175.0,70.0,1.75,8.5,12.0,7.0,0.5253542312920967,0.334337327890889,0.14271060680260692,0.03906671564622725,0.827394374999338,0.18159459821414042,0.05588763392852672,-0.016033982979897887,0.00012341294589646168,1.1854816675186155,0.6467666625976562,0.2753825187683105,0.0753432139754295
Tx70-L_175-Nb_7-S_120-O_17-ts_100,Tx70,175.0,70.0,1.75,10.0,12.0,7.0,0.5023784054417749,0.33652712925143147,0.15692681360531663,0.04951810068023249,0.8091157142850669,0.18735810267842154,0.07142700334815713,-0.0060562555803522974,0.0001253660708755433,1.060826063156128,0.6110780835151672,0.2835276126861572,0.0901800692081451
Tx70-L_175-Nb_7-S_120-O_31-ts_85,Tx70,175.0,70.0,3.1666666666666665,8.5,12.0,7.0,0.5697220789111088,0.3272322394555205,0.12795017142846907,0.02900605986392237,0.9033285714278488,0.12521587053561412,0.05038980468745968,-0.027009486607121252,0.00010473618820583397,1.2215347290039062,0.628064751625061,0.2476381212472915,0.0564967393875122
Tx70-L_175-Nb_7-S_120-O_31-ts_100,Tx70,175.0,70.0,3.1666666666666665,10.0,12.0,7.0,0.5423779265301784,0.33226629659837364,0.14482932244886373,0.039863050340104164,0.8826296428564366,0.13322810267846483,0.06761839285708876,-0.01666701032364738,0.00011486802407034702,1.0891096591949463,0.5990222692489624,0.2618505656719208,0.0734097510576248
Tx70-L_175-Nb_7-S_120-O_45-ts_85,Tx70,175.0,70.0,4.583333333333334,8.5,12.0,7.0,0.6126305959178773,0.3203560925167505,0.11328851156453522,0.0189714829931821,0.9789548214277882,0.06937063616065879,0.044709958147285664,-0.037988967633898175,0.00011547837556236118,1.258736252784729,0.6099522113800049,0.220181718468666,0.037751730531454
Tx70-L_175-Nb_7-S_120-O_45-ts_100,Tx70,175.0,70.0,4.583333333333334,10.0,12.0,7.0,0.5806764843532769,0.32829000272082576,0.13284414693866922,0.0302223292516765,0.955504821427807,0.08018618303565013,0.06345876116066351,-0.027279927455335317,0.00010058579746896612,1.1187690496444702,0.5876401662826538,0.2404685616493225,0.0567085817456245
Tx70-L_175-Nb_7-S_120-O_60-ts_85,Tx70,175.0,70.0,6.0,8.5,12.0,7.0,0.6540734693872318,0.31379328435349046,0.09884709659856038,0.009045980952373715,1.054770267856299,0.013089425223203813,0.03924215959818289,-0.048942299107103696,0.00011303696933850915,1.2965928316116333,0.5925469398498535,0.1932295709848404,0.0192588828504085
Tx70-L_175-Nb_7-S_120-O_60-ts_100,Tx70,175.0,70.0,6.0,10.0,12.0,7.0,0.6172650666661728,0.32463601632627087,0.1211024761903793,0.02070747755100384,1.0286241964277485,0.02664105747765726,0.0595008593749524,-0.037849017857112574,0.0001196287662139639,1.1490846872329712,0.5769429802894592,0.2195880115032196,0.040268026292324
Tx84-L_126-Nb_7-S_60-O_24-ts_85,Tx84,126.0,84.0,2.4166666666666665,8.5,6.0,7.0,0.4812186948849766,0.3181046863187175,0.17304115226323605,0.07368922692527907,0.8651302703366095,0.121891725570339,0.0860031001983439,0.0030761457170734316,9.594716482297372e-05,0.1872619986534118,0.1166013479232788,0.0626218095421791,0.0266956035047769
Tx84-L_126-Nb_7-S_60-O_24-ts_100,Tx84,126.0,84.0,2.4166666666666665,10.0,6.0,7.0,0.46028588225376793,0.31633749055152316,0.1822321533550234,0.08404214432679931,0.8381295882929802,0.14253979104651296,0.0901029963416938,0.017144128224192635,9.851064139354548e-05,0.1700863987207412,0.1102214604616165,0.0626139566302299,0.0289193782955408
