model,girderName,radius,L,D,w_oh,ts,S,Nb,I,Kg,n_bm1,n_bm2,n_bm3,n_bm4,n_r1,n_r2,n_r3,n_r4,sum_RY,d-G1,d-G2,d-G3,d-G4
PG-1-L_60-Nb_4-S_60-O_10-ts_85-sk_0-R_300,PG-1,300,60,21.875,1,8.5,6,4,3212.29,216024.28,0.559,0.368,0.158,0,0.893,0.242,0.115,-0.22,1.808,0.501,0.309,0.141,0
PG-1-L_60-Nb_4-S_60-O_16-ts_85-sk_0-R_300,PG-1,300,60,21.875,1.666666667,8.5,6,4,3212.29,216024.28,0.586,0.369,0.15,0,0.964,0.196,0.117,-0.244,1.942,0.507,0.308,0.137,0
PG-1-L_60-Nb_4-S_60-O_23-ts_85-sk_0-R_300,PG-1,300,60,21.875,2.333333333,8.5,6,4,3212.29,216024.28,0.612,0.371,0.142,0,1.035,0.151,0.118,-0.269,2.075,0.515,0.307,0.133,0
PG-1-L_60-Nb_4-S_60-O_30-ts_85-sk_0-R_300,PG-1,300,60,21.875,3,8.5,6,4,3212.29,216024.28,0.637,0.373,0.134,0,1.107,0.106,0.118,-0.293,2.208,0.524,0.307,0.129,0
PG-1-L_60-Nb_4-S_90-O_10-ts_85-sk_0-R_300,PG-1,300,60,21.875,1,8.5,9,4,3212.29,216024.28,0.653,0.378,0.122,0,0.917,0.224,0.067,-0.162,2.708,0.55,0.292,0.101,0
PG-1-L_60-Nb_4-S_90-O_21-ts_85-sk_0-R_300,PG-1,300,60,21.875,2.166666667,8.5,9,4,3212.29,216024.28,0.696,0.375,0.107,0,1.015,0.153,0.063,-0.181,2.942,0.566,0.288,0.094,0
PG-1-L_60-Nb_4-S_90-O_33-ts_85-sk_0-R_300,PG-1,300,60,21.875,3.333333333,8.5,9,4,3212.29,216024.28,0.738,0.372,0.092,0,1.114,0.083,0.058,-0.2,3.175,0.585,0.285,0.087,0
PG-1-L_60-Nb_4-S_90-O_45-ts_85-sk_0-R_300,PG-1,300,60,21.875,4.5,8.5,9,4,3212.29,216024.28,0.779,0.371,0.078,0,1.213,0.012,0.052,-0.219,3.408,0.606,0.283,0.08,0
PG-1-L_60-Nb_4-S_120-O_10-ts_85-sk_0-R_300,PG-1,300,60,21.875,1,8.5,12,4,3212.29,216024.28,0.731,0.368,0.087,0,0.953,0.198,0.026,-0.117,3.608,0.601,0.271,0.07,0
PG-1-L_60-Nb_4-S_120-O_26-ts_85-sk_0-R_300,PG-1,300,60,21.875,2.666666667,8.5,12,4,3212.29,216024.28,0.793,0.354,0.066,0,1.073,0.106,0.017,-0.129,3.942,0.629,0.261,0.06,0
PG-1-L_60-Nb_4-S_120-O_43-ts_85-sk_0-R_300,PG-1,300,60,21.875,4.333333333,8.5,12,4,3212.29,216024.28,0.852,0.342,0.045,0,1.194,0.013,0.006,-0.141,4.275,0.661,0.253,0.05,0
PG-1-L_60-Nb_4-S_120-O_60-ts_85-sk_0-R_300,PG-1,300,60,21.875,6,8.5,12,4,3212.29,216024.28,0.91,0.331,0.025,0,1.315,-0.079,-0.005,-0.153,4.608,0.696,0.246,0.04,0
PG-2-L_60-Nb_4-S_60-O_10-ts_85-sk_0-R_300,PG-2,300,60,24.5,1,8.5,6,4,3656.13,230783.96,0.573,0.371,0.153,0,0.892,0.251,0.109,-0.22,1.808,0.471,0.288,0.128,0
PG-2-L_60-Nb_4-S_60-O_16-ts_85-sk_0-R_300,PG-2,300,60,24.5,1.666666667,8.5,6,4,3656.13,230783.96,0.6,0.373,0.145,0,0.962,0.206,0.11,-0.245,1.942,0.478,0.287,0.124,0
PG-2-L_60-Nb_4-S_60-O_23-ts_85-sk_0-R_300,PG-2,300,60,24.5,2.333333333,8.5,6,4,3656.13,230783.96,0.626,0.375,0.137,0,1.033,0.162,0.111,-0.27,2.075,0.486,0.287,0.121,0
PG-2-L_60-Nb_4-S_60-O_30-ts_85-sk_0-R_300,PG-2,300,60,24.5,3,8.5,6,4,3656.13,230783.96,0.651,0.377,0.129,0,1.104,0.118,0.11,-0.294,2.208,0.495,0.288,0.118,0
PG-2-L_60-Nb_4-S_90-O_10-ts_85-sk_0-R_300,PG-2,300,60,24.5,1,8.5,9,4,3656.13,230783.96,0.664,0.38,0.118,0,0.916,0.229,0.064,-0.163,2.708,0.516,0.272,0.092,0
PG-2-L_60-Nb_4-S_90-O_21-ts_85-sk_0-R_300,PG-2,300,60,24.5,2.166666667,8.5,9,4,3656.13,230783.96,0.708,0.376,0.103,0,1.013,0.16,0.06,-0.183,2.942,0.532,0.268,0.085,0
PG-2-L_60-Nb_4-S_90-O_33-ts_85-sk_0-R_300,PG-2,300,60,24.5,3.333333333,8.5,9,4,3656.13,230783.96,0.751,0.374,0.088,0,1.111,0.091,0.054,-0.202,3.175,0.551,0.266,0.079,0
PG-2-L_60-Nb_4-S_90-O_45-ts_85-sk_0-R_300,PG-2,300,60,24.5,4.5,8.5,9,4,3656.13,230783.96,0.793,0.372,0.074,0,1.21,0.021,0.048,-0.221,3.408,0.571,0.264,0.073,0
PG-2-L_60-Nb_4-S_120-O_10-ts_85-sk_0-R_300,PG-2,300,60,24.5,1,8.5,12,4,3656.13,230783.96,0.742,0.368,0.083,0,0.952,0.202,0.025,-0.118,3.608,0.564,0.252,0.064,0
PG-2-L_60-Nb_4-S_120-O_26-ts_85-sk_0-R_300,PG-2,300,60,24.5,2.666666667,8.5,12,4,3656.13,230783.96,0.804,0.353,0.062,0,1.071,0.11,0.016,-0.131,3.942,0.592,0.243,0.054,0
PG-2-L_60-Nb_4-S_120-O_43-ts_85-sk_0-R_300,PG-2,300,60,24.5,4.333333333,8.5,12,4,3656.13,230783.96,0.864,0.341,0.041,0,1.192,0.019,0.005,-0.143,4.275,0.623,0.235,0.045,0
PG-2-L_60-Nb_4-S_120-O_60-ts_85-sk_0-R_300,PG-2,300,60,24.5,6,8.5,12,4,3656.13,230783.96,0.924,0.329,0.021,0,1.313,-0.073,-0.006,-0.156,4.608,0.657,0.229,0.036,0
PG-3-L_60-Nb_4-S_60-O_10-ts_85-sk_0-R_300,PG-3,300,60,27.25,1,8.5,6,4,4898.44,268845.92,0.584,0.374,0.149,0,0.892,0.254,0.105,-0.219,1.808,0.414,0.252,0.109,0
PG-3-L_60-Nb_4-S_60-O_16-ts_85-sk_0-R_300,PG-3,300,60,27.25,1.666666667,8.5,6,4,4898.44,268845.92,0.612,0.376,0.141,0,0.962,0.211,0.104,-0.243,1.942,0.421,0.251,0.106,0
PG-3-L_60-Nb_4-S_60-O_23-ts_85-sk_0-R_300,PG-3,300,60,27.25,2.333333333,8.5,6,4,4898.44,268845.92,0.639,0.378,0.132,0,1.032,0.169,0.103,-0.267,2.075,0.429,0.251,0.103,0
PG-3-L_60-Nb_4-S_60-O_30-ts_85-sk_0-R_300,PG-3,300,60,27.25,3,8.5,6,4,4898.44,268845.92,0.665,0.38,0.124,0,1.103,0.126,0.101,-0.291,2.208,0.437,0.252,0.1,0
PG-3-L_60-Nb_4-S_90-O_10-ts_85-sk_0-R_300,PG-3,300,60,27.25,1,8.5,9,4,4898.44,268845.92,0.677,0.381,0.112,0,0.917,0.23,0.061,-0.161,2.708,0.454,0.237,0.077,0
PG-3-L_60-Nb_4-S_90-O_21-ts_85-sk_0-R_300,PG-3,300,60,27.25,2.166666667,8.5,9,4,4898.44,268845.92,0.722,0.377,0.097,0,1.013,0.163,0.055,-0.181,2.942,0.47,0.233,0.071,0
PG-3-L_60-Nb_4-S_90-O_33-ts_85-sk_0-R_300,PG-3,300,60,27.25,3.333333333,8.5,9,4,4898.44,268845.92,0.767,0.374,0.082,0,1.111,0.095,0.049,-0.2,3.175,0.487,0.231,0.066,0
PG-3-L_60-Nb_4-S_90-O_45-ts_85-sk_0-R_300,PG-3,300,60,27.25,4.5,8.5,9,4,4898.44,268845.92,0.81,0.372,0.067,0,1.209,0.028,0.041,-0.219,3.408,0.506,0.23,0.06,0
PG-3-L_60-Nb_4-S_120-O_10-ts_85-sk_0-R_300,PG-3,300,60,27.25,1,8.5,12,4,4898.44,268845.92,0.756,0.366,0.077,0,0.953,0.202,0.023,-0.116,3.608,0.497,0.218,0.053,0
PG-3-L_60-Nb_4-S_120-O_26-ts_85-sk_0-R_300,PG-3,300,60,27.25,2.666666667,8.5,12,4,4898.44,268845.92,0.82,0.35,0.055,0,1.071,0.113,0.012,-0.129,3.942,0.523,0.21,0.044,0
PG-3-L_60-Nb_4-S_120-O_43-ts_85-sk_0-R_300,PG-3,300,60,27.25,4.333333333,8.5,12,4,4898.44,268845.92,0.883,0.336,0.034,0,1.191,0.023,0,-0.142,4.275,0.552,0.202,0.036,0
PG-3-L_60-Nb_4-S_120-O_60-ts_85-sk_0-R_300,PG-3,300,60,27.25,6,8.5,12,4,4898.44,268845.92,0.945,0.323,0.013,0,1.312,-0.067,-0.012,-0.154,4.608,0.583,0.196,0.027,0
PG-4-L_60-Nb_4-S_60-O_10-ts_85-sk_0-R_300,PG-4,300,60,30.75,1,8.5,6,4,8311.41,415113,0.624,0.383,0.133,0,0.891,0.263,0.088,-0.211,1.808,0.315,0.184,0.073,0
PG-4-L_60-Nb_4-S_60-O_16-ts_85-sk_0-R_300,PG-4,300,60,30.75,1.666666667,8.5,6,4,8311.41,415113,0.656,0.384,0.123,0,0.961,0.222,0.084,-0.233,1.942,0.32,0.184,0.07,0
PG-4-L_60-Nb_4-S_60-O_23-ts_85-sk_0-R_300,PG-4,300,60,30.75,2.333333333,8.5,6,4,8311.41,415113,0.688,0.386,0.113,0,1.032,0.181,0.079,-0.256,2.075,0.326,0.183,0.068,0
PG-4-L_60-Nb_4-S_60-O_30-ts_85-sk_0-R_300,PG-4,300,60,30.75,3,8.5,6,4,8311.41,415113,0.718,0.388,0.103,0,1.102,0.14,0.075,-0.278,2.208,0.333,0.183,0.065,0
PG-4-L_60-Nb_4-S_90-O_10-ts_85-sk_0-R_300,PG-4,300,60,30.75,1,8.5,9,4,8311.41,415113,0.719,0.379,0.092,0,0.921,0.231,0.044,-0.151,2.708,0.341,0.169,0.048,0
PG-4-L_60-Nb_4-S_90-O_21-ts_85-sk_0-R_300,PG-4,300,60,30.75,2.166666667,8.5,9,4,8311.41,415113,0.772,0.371,0.074,0,1.019,0.164,0.036,-0.168,2.942,0.354,0.165,0.043,0
PG-4-L_60-Nb_4-S_90-O_33-ts_85-sk_0-R_300,PG-4,300,60,30.75,3.333333333,8.5,9,4,8311.41,415113,0.823,0.364,0.056,0,1.117,0.097,0.026,-0.186,3.175,0.368,0.162,0.039,0
PG-4-L_60-Nb_4-S_90-O_45-ts_85-sk_0-R_300,PG-4,300,60,30.75,4.5,8.5,9,4,8311.41,415113,0.873,0.358,0.039,0,1.216,0.029,0.016,-0.203,3.408,0.383,0.16,0.034,0
PG-4-L_60-Nb_4-S_120-O_10-ts_85-sk_0-R_300,PG-4,300,60,30.75,1,8.5,12,4,8311.41,415113,0.802,0.353,0.053,0,0.961,0.197,0.008,-0.105,3.608,0.372,0.151,0.03,0
PG-4-L_60-Nb_4-S_120-O_26-ts_85-sk_0-R_300,PG-4,300,60,30.75,2.666666667,8.5,12,4,8311.41,415113,0.876,0.329,0.029,0,1.082,0.106,-0.005,-0.115,3.942,0.393,0.143,0.023,0
PG-4-L_60-Nb_4-S_120-O_43-ts_85-sk_0-R_300,PG-4,300,60,30.75,4.333333333,8.5,12,4,8311.41,415113,0.948,0.307,0.006,0,1.203,0.014,-0.019,-0.126,4.275,0.416,0.135,0.016,0
PG-4-L_60-Nb_4-S_120-O_60-ts_85-sk_0-R_300,PG-4,300,60,30.75,6,8.5,12,4,8311.41,415113,1.019,0.286,0,0,1.326,-0.077,-0.033,-0.137,4.608,0.442,0.128,0.009,0
PG-5-L_60-Nb_4-S_60-O_10-ts_85-sk_0-R_300,PG-5,300,60,33,1,8.5,6,4,5983.45,293139.8,0.608,0.38,0.141,0,0.886,0.274,0.092,-0.22,1.808,0.391,0.234,0.097,0
PG-5-L_60-Nb_4-S_60-O_16-ts_85-sk_0-R_300,PG-5,300,60,33,1.666666667,8.5,6,4,5983.45,293139.8,0.637,0.382,0.133,0,0.954,0.234,0.091,-0.245,1.942,0.398,0.234,0.094,0
PG-5-L_60-Nb_4-S_60-O_23-ts_85-sk_0-R_300,PG-5,300,60,33,2.333333333,8.5,6,4,5983.45,293139.8,0.664,0.385,0.124,0,1.023,0.193,0.09,-0.269,2.075,0.406,0.235,0.092,0
PG-5-L_60-Nb_4-S_60-O_30-ts_85-sk_0-R_300,PG-5,300,60,33,3,8.5,6,4,5983.45,293139.8,0.691,0.387,0.116,0,1.093,0.153,0.087,-0.294,2.208,0.415,0.235,0.089,0
PG-5-L_60-Nb_4-S_90-O_10-ts_85-sk_0-R_300,PG-5,300,60,33,1,8.5,9,4,5983.45,293139.8,0.694,0.383,0.108,0,0.912,0.243,0.056,-0.164,2.708,0.424,0.219,0.069,0
PG-5-L_60-Nb_4-S_90-O_21-ts_85-sk_0-R_300,PG-5,300,60,33,2.166666667,8.5,9,4,5983.45,293139.8,0.74,0.38,0.092,0,1.007,0.178,0.051,-0.185,2.942,0.44,0.217,0.064,0
PG-5-L_60-Nb_4-S_90-O_33-ts_85-sk_0-R_300,PG-5,300,60,33,3.333333333,8.5,9,4,5983.45,293139.8,0.785,0.377,0.077,0,1.103,0.113,0.045,-0.206,3.175,0.457,0.215,0.059,0
PG-5-L_60-Nb_4-S_90-O_45-ts_85-sk_0-R_300,PG-5,300,60,33,4.5,8.5,9,4,5983.45,293139.8,0.829,0.375,0.062,0,1.199,0.048,0.039,-0.226,3.408,0.476,0.214,0.054,0
PG-5-L_60-Nb_4-S_120-O_10-ts_85-sk_0-R_300,PG-5,300,60,33,1,8.5,12,4,5983.45,293139.8,0.77,0.366,0.074,0,0.948,0.212,0.022,-0.12,3.608,0.463,0.202,0.048,0
PG-5-L_60-Nb_4-S_120-O_26-ts_85-sk_0-R_300,PG-5,300,60,33,2.666666667,8.5,12,4,5983.45,293139.8,0.835,0.35,0.052,0,1.065,0.124,0.013,-0.135,3.942,0.488,0.194,0.04,0
PG-5-L_60-Nb_4-S_120-O_43-ts_85-sk_0-R_300,PG-5,300,60,33,4.333333333,8.5,12,4,5983.45,293139.8,0.898,0.336,0.031,0,1.184,0.036,0.002,-0.149,4.275,0.516,0.187,0.032,0
PG-5-L_60-Nb_4-S_120-O_60-ts_85-sk_0-R_300,PG-5,300,60,33,6,8.5,12,4,5983.45,293139.8,0.961,0.323,0.012,0,1.303,-0.052,-0.009,-0.163,4.608,0.547,0.182,0.024,0
PG-6-L_60-Nb_4-S_60-O_10-ts_85-sk_0-R_300,PG-6,300,60,35.625,1,8.5,6,4,7529.04,374498.75,0.636,0.387,0.131,0,0.884,0.282,0.081,-0.215,1.808,0.333,0.195,0.076,0
PG-6-L_60-Nb_4-S_60-O_16-ts_85-sk_0-R_300,PG-6,300,60,35.625,1.666666667,8.5,6,4,7529.04,374498.75,0.667,0.388,0.121,0,0.952,0.243,0.079,-0.239,1.942,0.339,0.195,0.074,0
PG-6-L_60-Nb_4-S_60-O_23-ts_85-sk_0-R_300,PG-6,300,60,35.625,2.333333333,8.5,6,4,7529.04,374498.75,0.697,0.39,0.112,0,1.021,0.204,0.075,-0.263,2.075,0.347,0.195,0.071,0
PG-6-L_60-Nb_4-S_60-O_30-ts_85-sk_0-R_300,PG-6,300,60,35.625,3,8.5,6,4,7529.04,374498.75,0.726,0.393,0.102,0,1.09,0.165,0.072,-0.287,2.208,0.355,0.196,0.069,0
PG-6-L_60-Nb_4-S_90-O_10-ts_85-sk_0-R_300,PG-6,300,60,35.625,1,8.5,9,4,7529.04,374498.75,0.721,0.383,0.096,0,0.913,0.246,0.047,-0.159,2.708,0.359,0.18,0.053,0
PG-6-L_60-Nb_4-S_90-O_21-ts_85-sk_0-R_300,PG-6,300,60,35.625,2.166666667,8.5,9,4,7529.04,374498.75,0.771,0.377,0.079,0,1.008,0.181,0.04,-0.179,2.942,0.373,0.177,0.048,0
PG-6-L_60-Nb_4-S_90-O_33-ts_85-sk_0-R_300,PG-6,300,60,35.625,3.333333333,8.5,9,4,7529.04,374498.75,0.819,0.372,0.062,0,1.105,0.116,0.033,-0.199,3.175,0.388,0.175,0.043,0
PG-6-L_60-Nb_4-S_90-O_45-ts_85-sk_0-R_300,PG-6,300,60,35.625,4.5,8.5,9,4,7529.04,374498.75,0.867,0.368,0.046,0,1.202,0.051,0.025,-0.218,3.408,0.405,0.173,0.039,0
PG-6-L_60-Nb_4-S_120-O_10-ts_85-sk_0-R_300,PG-6,300,60,35.625,1,8.5,12,4,7529.04,374498.75,0.797,0.359,0.06,0,0.952,0.21,0.014,-0.115,3.608,0.39,0.163,0.034,0
PG-6-L_60-Nb_4-S_120-O_26-ts_85-sk_0-R_300,PG-6,300,60,35.625,2.666666667,8.5,12,4,7529.04,374498.75,0.868,0.339,0.038,0,1.07,0.122,0.003,-0.128,3.942,0.413,0.155,0.028,0
PG-6-L_60-Nb_4-S_120-O_43-ts_85-sk_0-R_300,PG-6,300,60,35.625,4.333333333,8.5,12,4,7529.04,374498.75,0.936,0.32,0.016,0,1.19,0.033,-0.008,-0.141,4.275,0.438,0.148,0.021,0
PG-6-L_60-Nb_4-S_120-O_60-ts_85-sk_0-R_300,PG-6,300,60,35.625,6,8.5,12,4,7529.04,374498.75,1.004,0.302,0.002,0,1.31,-0.056,-0.02,-0.154,4.608,0.465,0.142,0.014,0
PG-7-L_60-Nb_4-S_60-O_10-ts_85-sk_0-R_300,PG-7,300,60,38.25,1,8.5,6,4,9284.98,469185.46,0.66,0.391,0.121,0,0.882,0.289,0.072,-0.211,1.808,0.287,0.165,0.061,0
PG-7-L_60-Nb_4-S_60-O_16-ts_85-sk_0-R_300,PG-7,300,60,38.25,1.666666667,8.5,6,4,9284.98,469185.46,0.693,0.393,0.111,0,0.951,0.251,0.068,-0.235,1.942,0.292,0.164,0.059,0
PG-7-L_60-Nb_4-S_60-O_23-ts_85-sk_0-R_300,PG-7,300,60,38.25,2.333333333,8.5,6,4,9284.98,469185.46,0.725,0.394,0.101,0,1.019,0.212,0.063,-0.258,2.075,0.299,0.164,0.057,0
PG-7-L_60-Nb_4-S_60-O_30-ts_85-sk_0-R_300,PG-7,300,60,38.25,3,8.5,6,4,9284.98,469185.46,0.757,0.396,0.09,0,1.089,0.174,0.058,-0.281,2.208,0.306,0.165,0.054,0
PG-7-L_60-Nb_4-S_90-O_10-ts_85-sk_0-R_300,PG-7,300,60,38.25,1,8.5,9,4,9284.98,469185.46,0.744,0.381,0.085,0,0.915,0.247,0.039,-0.154,2.708,0.306,0.149,0.041,0
PG-7-L_60-Nb_4-S_90-O_21-ts_85-sk_0-R_300,PG-7,300,60,38.25,2.166666667,8.5,9,4,9284.98,469185.46,0.797,0.373,0.067,0,1.011,0.183,0.031,-0.173,2.942,0.319,0.146,0.037,0
PG-7-L_60-Nb_4-S_90-O_33-ts_85-sk_0-R_300,PG-7,300,60,38.25,3.333333333,8.5,9,4,9284.98,469185.46,0.849,0.366,0.049,0,1.108,0.118,0.022,-0.192,3.175,0.333,0.144,0.032,0
PG-7-L_60-Nb_4-S_90-O_45-ts_85-sk_0-R_300,PG-7,300,60,38.25,4.5,8.5,9,4,9284.98,469185.46,0.901,0.36,0.032,0,1.205,0.052,0.013,-0.21,3.408,0.348,0.142,0.028,0
PG-7-L_60-Nb_4-S_120-O_10-ts_85-sk_0-R_300,PG-7,300,60,38.25,1,8.5,12,4,9284.98,469185.46,0.821,0.351,0.048,0,0.956,0.208,0.007,-0.109,3.608,0.332,0.133,0.025,0
PG-7-L_60-Nb_4-S_120-O_26-ts_85-sk_0-R_300,PG-7,300,60,38.25,2.666666667,8.5,12,4,9284.98,469185.46,0.897,0.326,0.025,0,1.075,0.118,-0.005,-0.121,3.942,0.353,0.125,0.019,0
PG-7-L_60-Nb_4-S_120-O_43-ts_85-sk_0-R_300,PG-7,300,60,38.25,4.333333333,8.5,12,4,9284.98,469185.46,0.971,0.303,0.003,0,1.196,0.028,-0.017,-0.134,4.275,0.375,0.118,0.013,0
PG-7-L_60-Nb_4-S_120-O_60-ts_85-sk_0-R_300,PG-7,300,60,38.25,6,8.5,12,4,9284.98,469185.46,1.044,0.28,0,0,1.317,-0.062,-0.03,-0.146,4.608,0.399,0.112,0.007,0
PG-8-L_70-Nb_4-S_60-O_10-ts_85-sk_0-R_300,PG-8,300,70,25.375,1,8.5,6,4,5255.61,314516.73,0.565,0.374,0.16,0,0.904,0.255,0.122,-0.249,2.11,0.719,0.454,0.214,0
PG-8-L_70-Nb_4-S_60-O_16-ts_85-sk_0-R_300,PG-8,300,70,25.375,1.666666667,8.5,6,4,5255.61,314516.73,0.591,0.376,0.153,0,0.972,0.212,0.125,-0.276,2.265,0.726,0.452,0.209,0
PG-8-L_70-Nb_4-S_60-O_23-ts_85-sk_0-R_300,PG-8,300,70,25.375,2.333333333,8.5,6,4,5255.61,314516.73,0.616,0.379,0.145,0,1.041,0.171,0.128,-0.303,2.421,0.736,0.452,0.205,0
PG-8-L_70-Nb_4-S_60-O_30-ts_85-sk_0-R_300,PG-8,300,70,25.375,3,8.5,6,4,5255.61,314516.73,0.64,0.381,0.138,0,1.109,0.129,0.13,-0.329,2.576,0.746,0.453,0.201,0
PG-8-L_70-Nb_4-S_90-O_10-ts_85-sk_0-R_300,PG-8,300,70,25.375,1,8.5,9,4,5255.61,314516.73,0.653,0.388,0.128,0,0.917,0.24,0.078,-0.189,3.16,0.776,0.429,0.158,0
PG-8-L_70-Nb_4-S_90-O_21-ts_85-sk_0-R_300,PG-8,300,70,25.375,2.166666667,8.5,9,4,5255.61,314516.73,0.695,0.387,0.114,0,1.011,0.175,0.076,-0.212,3.432,0.795,0.426,0.15,0
PG-8-L_70-Nb_4-S_90-O_33-ts_85-sk_0-R_300,PG-8,300,70,25.375,3.333333333,8.5,9,4,5255.61,314516.73,0.734,0.387,0.101,0,1.105,0.111,0.074,-0.235,3.704,0.819,0.424,0.142,0
PG-8-L_70-Nb_4-S_90-O_45-ts_85-sk_0-R_300,PG-8,300,70,25.375,4.5,8.5,9,4,5255.61,314516.73,0.773,0.388,0.089,0,1.2,0.046,0.07,-0.257,3.976,0.845,0.424,0.134,0
PG-8-L_70-Nb_4-S_120-O_10-ts_85-sk_0-R_300,PG-8,300,70,25.375,1,8.5,12,4,5255.61,314516.73,0.728,0.382,0.096,0,0.947,0.217,0.039,-0.142,4.21,0.838,0.402,0.116,0
PG-8-L_70-Nb_4-S_120-O_26-ts_85-sk_0-R_300,PG-8,300,70,25.375,2.666666667,8.5,12,4,5255.61,314516.73,0.785,0.373,0.077,0,1.061,0.133,0.031,-0.159,4.599,0.873,0.393,0.103,0
PG-8-L_70-Nb_4-S_120-O_43-ts_85-sk_0-R_300,PG-8,300,70,25.375,4.333333333,8.5,12,4,5255.61,314516.73,0.841,0.365,0.058,0,1.177,0.048,0.023,-0.175,4.988,0.914,0.386,0.091,0
PG-8-L_70-Nb_4-S_120-O_60-ts_85-sk_0-R_300,PG-8,300,70,25.375,6,8.5,12,4,5255.61,314516.73,0.895,0.359,0.039,0,1.293,-0.037,0.013,-0.191,5.376,0.959,0.381,0.079,0
PG-9-L_70-Nb_4-S_60-O_10-ts_85-sk_0-R_300,PG-9,300,70,27.5,1,8.5,6,4,5406.69,320164.26,0.567,0.374,0.159,0,0.905,0.257,0.121,-0.251,2.11,0.673,0.425,0.2,0
PG-9-L_70-Nb_4-S_60-O_16-ts_85-sk_0-R_300,PG-9,300,70,27.5,1.666666667,8.5,6,4,5406.69,320164.26,0.592,0.377,0.152,0,0.973,0.216,0.123,-0.278,2.265,0.681,0.424,0.196,0
PG-9-L_70-Nb_4-S_60-O_23-ts_85-sk_0-R_300,PG-9,300,70,27.5,2.333333333,8.5,6,4,5406.69,320164.26,0.617,0.379,0.145,0,1.041,0.175,0.125,-0.305,2.421,0.691,0.425,0.192,0
PG-9-L_70-Nb_4-S_60-O_30-ts_85-sk_0-R_300,PG-9,300,70,27.5,3,8.5,6,4,5406.69,320164.26,0.641,0.382,0.138,0,1.109,0.135,0.126,-0.331,2.576,0.702,0.426,0.188,0
PG-9-L_70-Nb_4-S_90-O_10-ts_85-sk_0-R_300,PG-9,300,70,27.5,1,8.5,9,4,5406.69,320164.26,0.656,0.389,0.127,0,0.917,0.242,0.078,-0.191,3.16,0.73,0.404,0.148,0
PG-9-L_70-Nb_4-S_90-O_21-ts_85-sk_0-R_300,PG-9,300,70,27.5,2.166666667,8.5,9,4,5406.69,320164.26,0.697,0.389,0.114,0,1.01,0.179,0.076,-0.214,3.432,0.75,0.402,0.141,0
PG-9-L_70-Nb_4-S_90-O_33-ts_85-sk_0-R_300,PG-9,300,70,27.5,3.333333333,8.5,9,4,5406.69,320164.26,0.737,0.389,0.101,0,1.103,0.115,0.073,-0.237,3.704,0.773,0.401,0.134,0
PG-9-L_70-Nb_4-S_90-O_45-ts_85-sk_0-R_300,PG-9,300,70,27.5,4.5,8.5,9,4,5406.69,320164.26,0.775,0.39,0.089,0,1.197,0.052,0.07,-0.26,3.976,0.799,0.401,0.127,0
PG-9-L_70-Nb_4-S_120-O_10-ts_85-sk_0-R_300,PG-9,300,70,27.5,1,8.5,12,4,5406.69,320164.26,0.73,0.383,0.096,0,0.946,0.219,0.041,-0.145,4.21,0.79,0.38,0.109,0
PG-9-L_70-Nb_4-S_120-O_26-ts_85-sk_0-R_300,PG-9,300,70,27.5,2.666666667,8.5,12,4,5406.69,320164.26,0.787,0.374,0.077,0,1.059,0.137,0.033,-0.162,4.599,0.826,0.372,0.098,0
PG-9-L_70-Nb_4-S_120-O_43-ts_85-sk_0-R_300,PG-9,300,70,27.5,4.333333333,8.5,12,4,5406.69,320164.26,0.843,0.367,0.058,0,1.173,0.054,0.024,-0.179,4.988,0.865,0.366,0.086,0
PG-9-L_70-Nb_4-S_120-O_60-ts_85-sk_0-R_300,PG-9,300,70,27.5,6,8.5,12,4,5406.69,320164.26,0.898,0.361,0.039,0,1.289,-0.029,0.014,-0.195,5.376,0.909,0.362,0.075,0
PG-10-L_70-Nb_4-S_60-O_10-ts_85-sk_0-R_300,PG-10,300,70,30.75,1,8.5,6,4,8311.41,415113,0.59,0.381,0.15,0,0.903,0.265,0.11,-0.247,2.11,0.566,0.352,0.158,0
PG-10-L_70-Nb_4-S_60-O_16-ts_85-sk_0-R_300,PG-10,300,70,30.75,1.666666667,8.5,6,4,8311.41,415113,0.618,0.383,0.142,0,0.971,0.226,0.11,-0.273,2.265,0.574,0.351,0.154,0
PG-10-L_70-Nb_4-S_60-O_23-ts_85-sk_0-R_300,PG-10,300,70,30.75,2.333333333,8.5,6,4,8311.41,415113,0.645,0.386,0.134,0,1.039,0.187,0.109,-0.298,2.421,0.583,0.352,0.151,0
PG-10-L_70-Nb_4-S_60-O_30-ts_85-sk_0-R_300,PG-10,300,70,30.75,3,8.5,6,4,8311.41,415113,0.671,0.389,0.127,0,1.107,0.148,0.108,-0.324,2.576,0.593,0.353,0.148,0
PG-10-L_70-Nb_4-S_90-O_10-ts_85-sk_0-R_300,PG-10,300,70,30.75,1,8.5,9,4,8311.41,415113,0.681,0.392,0.116,0,0.918,0.245,0.069,-0.186,3.16,0.611,0.331,0.114,0
PG-10-L_70-Nb_4-S_90-O_21-ts_85-sk_0-R_300,PG-10,300,70,30.75,2.166666667,8.5,9,4,8311.41,415113,0.725,0.39,0.102,0,1.011,0.183,0.065,-0.208,3.432,0.629,0.328,0.108,0
PG-10-L_70-Nb_4-S_90-O_33-ts_85-sk_0-R_300,PG-10,300,70,30.75,3.333333333,8.5,9,4,8311.41,415113,0.768,0.389,0.088,0,1.104,0.122,0.06,-0.231,3.704,0.65,0.326,0.101,0
