model,skew,girderName,L,D,w_oh,ts,S,Nb,Kg,n_bm1,n_bm2,n_bm3,n_bm4,n_r1,n_r2,n_r3,n_r4,sum_RY,d-G1,d-G2,d-G3,d-G4
Tx84-L_210-Nb_6-S_60-O_26-ts_100,0,Tx84,210,84,2.611111111111111,10,6,6,8321965.338399999,0.3522841421010031,0.27704054421746543,0.19709821617520132,0.12128761148894301,0.7728627976184294,0.12643805803561314,0.1413709728421488,0.068181264,0.000163086,0.978566825,0.7421154379844666,0.520020068,0.3161280453205108
Tx84-L_210-Nb_6-S_60-O_28-ts_85,0,Tx84,210,84,2.8055555555555554,8.5,6,6,8144494.2596499985,0.3714507634161805,0.2839030990171576,0.1962761602417175,0.1151838624337703,0.7941624255946027,0.10443815104158312,0.14741361607131065,0.052622526,0.000157226,1.078605055809021,0.8011451959609985,0.5455687642097473,0.3170487284660339
Tx84-L_210-Nb_6-S_60-O_28-ts_100,0,Tx84,210,84,2.8055555555555554,10,6,6,8321965.338399999,0.3566208314434033,0.2773008012091508,0.19673424036265438,0.12041925925916291,0.7856173363088953,0.11920569196419034,0.14085050223203016,0.066788932,0.000177734,0.9812446236610411,0.7424788475036621,0.5187451243400574,0.3137330114841461
Tx84-L_210-Nb_6-S_60-O_30-ts_85,0,Tx84,210,84,3,8.5,6,6,8144494.2596499985,0.37602077097475584,0.28426083144346115,0.19588027210868683,0.11423233560081564,0.807134598,0.096838477,0.14723476562488222,0.05100738,0.000145508,1.082284688949585,0.8017414808273315,0.544115424,0.3143153190612793
Tx84-L_210-Nb_6-S_60-O_30-ts_100,0,Tx84,210,84,3,10,6,6,8321965.338399999,0.36097925925897045,0.2775948904003826,0.19638450491291926,0.11954764928183936,0.798091815,0.1124149739582434,0.14028165922607827,0.065422405,0.00015625,0.9840677976608276,0.7429282069206238,0.5175069570541382,0.3113306164741516
Tx84-L_210-Nb_6-S_90-O_24-ts_85,0,Tx84,210,84,2.4166666666666665,8.5,9,6,8144494.2596499985,0.45589841269804793,0.32693263794380495,0.18364412698398005,0.074584656,0.8130834821422067,0.13553656994036775,0.11755820312490596,0.010189685639872801,0.000153808,1.2650089263916016,0.8222604393959045,0.4583961069583893,0.1875491440296173
Tx84-L_210-Nb_6-S_90-O_24-ts_100,0,Tx84,210,84,2.4166666666666665,10,9,6,8321965.338399999,0.43499809523774724,0.3234119727888569,0.19186848072547008,0.085148057,0.7973891369041239,0.14358484002964703,0.12679012276775573,0.023266192336290913,0.000154053,1.1421033143997192,0.7692219614982605,0.4514922797679901,0.2008567899465561
Tx84-L_210-Nb_6-S_90-O_31-ts_85,0,Tx84,210,84,3.111111111111111,8.5,9,6,8144494.2596499985,0.4735207256232039,0.3265190627359444,0.17981182161739206,0.070349199,0.8547293154755067,0.10525255766360626,0.11814105282728644,0.003555615,0.000147461,1.2796432971954346,0.8188256621360779,0.4481609463691711,0.177380234
Tx84-L_210-Nb_6-S_90-O_31-ts_100,0,Tx84,210,84,3.111111111111111,10,9,6,8321965.338399999,0.45127086923622245,0.3233131972786529,0.18890371882071055,0.081430839,0.8373508184517111,0.11515509672609836,0.1273224795385886,0.017318171037932574,0.000133301,1.1529371738433838,0.7670170664787292,0.443685919,0.1923777461051941
Tx84-L_210-Nb_6-S_90-O_38-ts_85,0,Tx84,210,84,3.805555555555555,8.5,9,6,8144494.2596499985,0.4910175661371733,0.32617448223707846,0.17598926681769747,0.066114255,0.8956023065469026,0.07631955,0.11828565848204824,-0.002883859,0.00016748,1.2948213815689087,0.8155838847160339,0.4379777908325195,0.1672193109989166
